sample-id,absolute-filepath,direction
S1,/Users/kaitlynmurphy/Desktop/red_deer_microbiome_submission/2_S1_L001_R1_001.fastq.gz,forward
S1,/Users/kaitlynmurphy/Desktop/red_deer_microbiome_submission/2_S1_L001_R2_001.fastq.gz,reverse
S2,/Users/kaitlynmurphy/Desktop/red_deer_microbiome_submission/3_S2_L001_R1_001.fastq.gz,forward
S2,/Users/kaitlynmurphy/Desktop/red_deer_microbiome_submission/3_S2_L001_R2_001.fastq.gz,reverse
S3,/Users/kaitlynmurphy/Desktop/red_deer_microbiome_submission/4_S3_L001_R1_001.fastq.gz,forward
S3,/Users/kaitlynmurphy/Desktop/red_deer_microbiome_submission/4_S3_L001_R2_001.fastq.gz,reverse
S4,/Users/kaitlynmurphy/Desktop/red_deer_microbiome_submission/5_S4_L001_R1_001.fastq.gz,forward
S4,/Users/kaitlynmurphy/Desktop/red_deer_microbiome_submission/5_S4_L001_R2_001.fastq.gz,reverse
S5,/Users/kaitlynmurphy/Desktop/red_deer_microbiome_submission/7_S5_L001_R1_001.fastq.gz,forward
S5,/Users/kaitlynmurphy/Desktop/red_deer_microbiome_submission/7_S5_L001_R2_001.fastq.gz,reverse
S6,/Users/kaitlynmurphy/Desktop/red_deer_microbiome_submission/8_S6_L001_R1_001.fastq.gz,forward
S6,/Users/kaitlynmurphy/Desktop/red_deer_microbiome_submission/8_S6_L001_R2_001.fastq.gz,reverse
